ros_time,msg_stamp,selected_mode,selected_wz,vesc_wz,livox_wz,livox_wz_raw,livox_bias_wz,vesc_weight,livox_weight,vesc_valid,livox_valid,fallback_used,vesc_header_stamp,livox_header_stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1786618070.1322114,1786618070.1310167,vesc,0.00019520762730820652,0.00019520762730820652,nan,nan,0.01,1,0,1,0,0,1786618070.1310167,nan,-0.00016086117162459086,0.00077892676517233987,0.00019520762730820652,-0.10042014986477898,0.064185729499872224,9.5813508889623336
1786618070.1511135,1786618070.1501014,vesc,0.0012546685047729958,0.0012546685047729958,nan,nan,0.01,1,0,1,0,0,1786618070.1501014,nan,-0.00017335514220734541,-0.0013544577229817802,0.0012546685047729958,-0.10058867759062107,0.073727179864597758,9.5957455650712973
1786618070.170217,1786618070.1698902,vesc,-0.00089106301197013917,-0.00089106301197013917,nan,nan,0.01,1,0,1,0,0,1786618070.1698902,nan,-0.0012135582961138242,-0.0024139589119669758,-0.00089106301197013917,-0.072187498282151097,0.035328841938270017,9.6247185198685656
1786618070.1865666,1786618070.1854415,vesc,-0.001940893467209822,-0.001940893467209822,nan,nan,0.01,1,0,1,0,0,1786618070.1854415,nan,-0.00013587375060773214,-0.0013458690284662747,-0.001940893467209822,-0.062945160419666912,0.10231160543768958,9.6537487773816792
1786618070.2114694,1786618070.209795,vesc,-0.00086321230266995738,-0.00086321230266995738,nan,nan,0.01,1,0,1,0,0,1786618070.209795,nan,0.00091682389403015165,-0.0013487652161517359,-0.00086321230266995738,-0.10994338249745805,0.073778964270434955,9.576475480342765
1786618070.2316818,1786618070.2310638,vesc,0.00020483814706118484,0.00020483814706118484,nan,nan,0.01,1,0,1,0,0,1786618070.2310638,nan,0.00090432992344739716,-0.00028636783948107899,0.00020483814706118484,-0.072524572006384957,0.063991748112304236,9.6535335998364644
1786618070.2503593,1786618070.2500691,vesc,0.0012603948212653164,0.0012603948212653164,nan,nan,0.01,1,0,1,0,0,1786618070.2500691,nan,-0.00017335514220734541,0.00077606386700050461,0.0012603948212653164,-0.076640134919413683,0.083306454407193087,9.5960531286277728
1786618070.2702665,1786618070.2699673,vesc,0.00018948118077872315,0.00018948118077872315,nan,nan,0.01,1,0,1,0,0,1786618070.2699673,nan,-0.00016086117162459086,-0.001351594824809945,0.00018948118077872315,-0.077763714000193218,0.063888910202617666,9.6917954418165664
1786618070.2902639,1786618070.2898874,vesc,0.00015772639825504655,0.00015772639825504655,nan,nan,0.01,1,0,1,0,0,1786618070.2898874,nan,-0.0033564354971378557,0.0007790266337132178,0.00015772639825504655,-0.081317487372832176,0.10728246985686773,9.5864812361952545
1786618070.31022,1786618070.3099382,vesc,-0.0029964499788675005,-0.0029964499788675005,nan,nan,0.01,1,0,1,0,0,1786618070.3099382,nan,0.00094181131504701037,-0.0024082996946505576,-0.0029964499788675005,-0.096192229043672306,0.068846874201710762,9.6293167704543521
1786618070.330497,1786618070.3302174,vesc,-0.0019226731801347467,-0.0019226731801347467,nan,nan,0.01,1,0,1,0,0,1786618070.3302174,nan,0.00092931734446425576,0.00078461823170508345,-0.0019226731801347467,-0.091177802866019952,0.068898220066355265,9.610215085543814
1786618070.3502967,1786618070.3499739,vesc,0.0012450379525107266,0.0012450379525107266,nan,nan,0.01,1,0,1,0,0,1786618070.3499739,nan,-0.0012385462372793334,-0.00028916311832836143,0.0012450379525107266,-0.063057509191470018,0.063965691456438378,9.6632259449165758
1786618070.3706067,1786618070.3703446,vesc,-0.00087284285493222644,-0.00087284285493222644,nan,nan,0.01,1,0,1,0,0,1786618070.3703446,nan,-0.00014836720104183631,-0.00028347165179561784,-0.00087284285493222644,-0.10487278650204157,0.09300325798943021,9.5526340422215981
1786618070.3901832,1786618070.3899174,vesc,-0.0019255363383809071,-0.0019255363383809071,nan,nan,0.01,1,0,1,0,0,1786618070.3899174,nan,0.00092931734446425576,-0.00028064204313740869,-0.0019255363383809071,-0.049474892599801201,0.058994973217657787,9.7304373528303358
1786618070.4107106,1786618070.4099598,vesc,0.0012575316630191562,0.0012575316630191562,nan,nan,0.01,1,0,1,0,0,1786618070.4099598,nan,-0.00017335514220734541,-0.0002891974481392882,0.0012575316630191562,-0.10943776277483241,0.093054932759969233,9.53341892132255
1786618070.4302425,1786618070.4299569,vesc,0.00019520762730820652,0.00019520762730820652,nan,nan,0.01,1,0,1,0,0,1786618070.4299569,nan,-0.00016086117162459086,0.00077892676517233987,0.00019520762730820652,-0.048519850381138596,0.064003844540202692,9.6490253963755777
1786618070.450398,1786618070.4499929,vesc,-0.00089783040598624762,-0.00089783040598624762,nan,nan,0.01,1,0,1,0,0,1786618070.4499929,nan,-0.0022787488710371622,-0.00028340403247106507,-0.00089783040598624762,-0.067566324782771581,0.073610235546546221,9.6392465125001081
1786618070.4701874,1786618070.4698932,vesc,0.00019234440404346486,0.00019234440404346486,nan,nan,0.01,1,0,1,0,0,1786618070.4698932,nan,-0.00016086117162459086,-0.00028633454996745305,0.00019234440404346486,-0.10013924595830925,0.073830163954681893,9.5574287592617111
