it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1559400,0.5379,0.5379,-8.2660,-7.3424,0.0084,0.0000,0.4342,0.0312,0.0089,0.7272,10.00,0.200,0.850,1.100,0.0003,0.0809,0.0071,0.00269,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00244,0.00146
1559600,0.5379,0.5379,-8.2056,-7.2416,0.0154,0.0000,0.1915,0.0135,0.0142,0.6869,10.00,0.200,0.850,1.100,0.0135,0.0842,0.0046,0.00146,0.00049,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00171,0.00049
1559800,0.5379,0.5379,-8.2056,-7.2416,0.0101,0.0000,0.2199,0.0098,0.0219,0.5243,10.00,0.200,0.850,1.100,0.0320,0.0636,0.0034,0.00049,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00195
1560000,0.5379,0.5379,-8.2056,-7.2416,0.0100,0.0000,0.2963,0.0099,0.0100,0.6578,10.00,0.200,0.850,1.100,0.0165,0.0754,0.0042,0.00073,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
1560200,0.5379,0.5379,-8.1925,-7.2523,0.0092,0.0000,0.2153,0.0092,0.0600,0.5729,10.00,0.200,0.850,1.100,0.0118,0.0797,0.0054,0.00220,0.00049,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00146,0.00073
1560400,0.5379,0.5379,-8.1925,-7.2523,0.0079,0.0000,0.3017,0.0160,0.0542,0.6392,10.00,0.200,0.850,1.100,0.0240,0.0824,0.0032,0.00146,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00073
1560600,0.5379,0.5379,-8.1893,-7.3764,0.0082,0.0000,0.1433,0.0156,0.0234,0.6243,10.00,0.200,0.850,1.100,0.0263,0.1094,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1560800,0.5379,0.5379,-8.1893,-7.3764,0.0086,0.0000,0.2326,0.0150,0.0105,0.8559,10.00,0.200,0.850,1.100,0.0096,0.0817,0.0054,0.00171,0.00146,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00073
1561000,0.5379,0.5379,-8.1893,-7.3764,0.0186,0.0000,0.2344,0.0151,0.0551,0.6079,10.00,0.200,0.850,1.100,0.0314,0.0809,0.0034,0.00098,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00049,0.00146
1561200,0.5379,0.5379,-8.2442,-7.0334,0.0136,0.0000,0.2547,0.0157,0.0224,0.7811,10.00,0.200,0.850,1.100,0.0264,0.0731,0.0051,0.00122,0.00049,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
