it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
6800,0.5365,0.5379,-7.6290,-7.6357,0.0145,0.0000,0.2776,0.0163,0.0000,0.2981,6.09,0.102,0.700,0.950,-0.0004,0.0082,0.0051,0.00122,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00244,0.00098
7000,0.5365,0.5379,-7.6290,-7.6357,0.0118,0.0000,0.3178,0.0136,0.0000,0.2708,6.09,0.102,0.700,0.950,0.0028,0.0004,0.0054,0.00073,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00171
7200,0.5379,0.5379,-7.5868,-7.7123,0.0161,0.0000,0.3129,0.0140,0.0000,0.2506,6.10,0.102,0.700,0.950,0.0193,0.0202,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7400,0.5379,0.5379,-7.5868,-7.7123,0.0137,0.0000,0.3173,0.0150,0.0000,0.2627,6.10,0.102,0.700,0.950,0.0084,0.0037,0.0027,0.00098,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00073
7600,0.5379,0.5379,-7.6796,-7.6469,0.0138,0.0000,0.3085,0.0132,0.0000,0.3025,6.10,0.102,0.700,0.950,0.0095,-0.0061,0.0039,0.00000,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00171
7800,0.5379,0.5379,-7.6796,-7.6469,0.0123,0.0000,0.2919,0.0116,0.0000,0.2619,6.10,0.102,0.700,0.950,0.0051,0.0036,0.0032,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00073
8000,0.5379,0.5379,-7.6796,-7.6469,0.0118,0.0000,0.3398,0.0123,0.0003,0.2775,6.11,0.102,0.700,0.950,0.0038,-0.0074,0.0054,0.00098,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
8200,0.5379,0.5379,-7.7024,-7.6223,0.0121,0.0000,0.2940,0.0153,0.0000,0.2478,6.11,0.102,0.700,0.950,0.0034,-0.0046,0.0039,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00146
8400,0.5379,0.5379,-7.7024,-7.6223,0.0127,0.0000,0.3440,0.0144,0.0011,0.2429,6.11,0.102,0.700,0.950,0.0047,-0.0095,0.0032,0.00049,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
8600,0.5379,0.5379,-7.7275,-7.7027,0.0135,0.0000,0.3203,0.0138,0.0011,0.2822,6.11,0.102,0.700,0.950,-0.0107,-0.0135,0.0068,0.00220,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00098
